customer_id,Recency,Frequency,Monetary,R_Rank,F_Rank,M_Rank,R_Score,F_Score,M_Score,Segment
1,1042,1,4233.33,8313.0,1.0,2087.0,Low,Low,Low,Lost
2,179,1,59996.55,40150.0,1.0,29896.0,High,Low,High,Key Potential Customer
4,917,1,10939.06,12363.0,1.0,7417.0,Low,Low,Low,Lost
5,1376,1,8931.28,1243.0,1.0,5893.0,Low,Low,Low,Lost
6,560,1,14971.6,22811.0,1.0,10185.0,Low,Low,Low,Lost
9,1306,1,15926.52,3322.0,1.0,10781.0,Low,Low,Low,Lost
10,240,3,67919.18000000001,35521.0,34108.0,32133.0,High,High,High,Key Valuable Customer
12,624,1,13636.55,19743.0,1.0,9411.0,Low,Low,Low,Lost
20,287,3,81711.54000000001,31816.0,34108.0,35522.0,High,High,High,Key Valuable Customer
22,125,3,39888.81,43461.0,34108.0,22797.0,High,High,Low,General Valuable Customer
23,275,3,84983.55,32934.0,34108.0,36219.0,High,High,High,Key Valuable Customer
24,554,2,47711.520000000004,23102.0,22924.0,25745.0,Low,Low,High,Key At Risk Customer
26,337,2,25373.82,29837.0,22924.0,16058.0,High,Low,Low,General Potential Customer
27,172,2,64948.75,40483.0,22924.0,31337.0,High,Low,High,Key Potential Customer
30,549,1,22538.34,23433.0,1.0,14507.0,Low,Low,Low,Lost
32,737,1,17144.3,16579.0,1.0,11496.0,Low,Low,Low,Lost
35,489,1,18726.45,25820.0,1.0,12429.0,High,Low,Low,General Potential Customer
41,1105,1,20492.67,7439.0,1.0,13406.0,Low,Low,Low,Lost
42,1370,1,38649.9,1498.0,1.0,22276.0,Low,Low,Low,Lost
43,182,2,55330.44,40037.0,22924.0,28366.0,High,Low,High,Key Potential Customer
45,581,2,47946.25,21769.0,22924.0,25846.0,Low,Low,High,Key At Risk Customer
46,274,4,150010.1,33101.0,40491.0,44745.0,High,High,High,Key Valuable Customer
47,51,2,46264.53,47452.0,22924.0,25235.0,High,Low,High,Key Potential Customer
48,202,2,42650.26,38336.0,22924.0,23894.0,High,Low,Low,General Potential Customer
49,605,1,25504.44,20687.0,1.0,16134.0,Low,Low,Low,Lost
50,308,4,160049.26,30782.0,40491.0,45470.0,High,High,High,Key Valuable Customer
56,175,2,74048.41,40317.0,22924.0,33658.0,High,Low,High,Key Potential Customer
57,141,2,33544.58,42454.0,22924.0,20007.0,High,Low,Low,General Potential Customer
58,78,2,49815.04,46176.0,22924.0,26535.0,High,Low,High,Key Potential Customer
59,1339,1,52649.55,2356.0,1.0,27551.0,Low,Low,High,Key At Risk Customer
60,793,2,27964.480000000003,15618.0,22924.0,17384.0,Low,Low,Low,Lost
63,441,1,24335.4,27255.0,1.0,15438.0,High,Low,Low,General Potential Customer
67,835,1,144058.51,14782.0,1.0,44287.0,Low,Low,High,Key At Risk Customer
69,1000,1,37273.67,9534.0,1.0,21658.0,Low,Low,Low,Lost
74,655,1,48478.32,18188.0,1.0,26055.0,Low,Low,High,Key At Risk Customer
75,188,2,45575.93,39343.0,22924.0,24977.0,High,Low,Low,General Potential Customer
76,779,3,63530.72,15829.0,34108.0,30905.0,Low,High,High,Key Loyal Customer
79,833,1,40061.38,14825.0,1.0,22885.0,Low,Low,Low,Lost
80,992,1,9219.86,9791.0,1.0,6139.0,Low,Low,Low,Lost
83,77,1,43079.94,46218.0,1.0,24051.0,High,Low,Low,General Potential Customer
85,37,5,160444.06,47968.0,44141.0,45497.0,High,High,High,Key Valuable Customer
88,1299,1,83340.8,3473.0,1.0,35843.0,Low,Low,High,Key At Risk Customer
89,1340,1,12198.23,2313.0,1.0,8381.0,Low,Low,Low,Lost
90,278,2,46931.49,32474.0,22924.0,25479.0,High,Low,High,Key Potential Customer
101,466,1,55318.79,26586.0,1.0,28363.0,High,Low,High,Key Potential Customer
102,1461,1,2192.04,1.0,1.0,693.0,Low,Low,Low,Lost
103,1019,1,23794.05,8700.0,1.0,15151.0,Low,Low,Low,Lost
105,557,2,100695.35,22940.0,22924.0,39185.0,Low,Low,High,Key At Risk Customer
106,1301,1,29824.76,3419.0,1.0,18249.0,Low,Low,Low,Lost
113,1344,2,17590.42,2138.0,22924.0,11770.0,Low,Low,Low,Lost
125,783,1,7972.26,15775.0,1.0,5123.0,Low,Low,Low,Lost
126,682,3,52648.5,17419.0,34108.0,27550.0,Low,High,High,Key Loyal Customer
127,78,1,18545.38,46176.0,1.0,12318.0,High,Low,Low,General Potential Customer
131,883,3,172713.33000000002,13408.0,34108.0,46260.0,Low,High,High,Key Loyal Customer
132,610,4,96440.37,20462.0,40491.0,38474.0,Low,High,High,Key Loyal Customer
135,72,3,113434.42,46453.0,34108.0,41081.0,High,High,High,Key Valuable Customer
136,1341,1,23423.96,2270.0,1.0,14956.0,Low,Low,Low,Lost
137,1093,1,55192.4,7745.0,1.0,28313.0,Low,Low,High,Key At Risk Customer
139,607,2,31466.77,20647.0,22924.0,19065.0,Low,Low,Low,Lost
142,305,1,69019.74,30986.0,1.0,32439.0,High,Low,High,Key Potential Customer
145,1355,1,12215.0,1844.0,1.0,8395.0,Low,Low,Low,Lost
146,62,1,39624.08,47023.0,1.0,22687.0,High,Low,Low,General Potential Customer
149,964,1,31597.68,10794.0,1.0,19130.0,Low,Low,Low,Lost
152,869,1,10047.62,13827.0,1.0,6733.0,Low,Low,Low,Lost
154,647,1,14903.22,18503.0,1.0,10143.0,Low,Low,Low,Lost
156,593,2,23632.010000000002,21180.0,22924.0,15061.0,Low,Low,Low,Lost
158,1314,1,24571.36,2941.0,1.0,15568.0,Low,Low,Low,Lost
160,45,2,42220.24,47678.0,22924.0,23724.0,High,Low,Low,General Potential Customer
