antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,segment,antecedents_str,consequents_str,rule
frozenset({'MekongFit RP-57'}),frozenset({'MekongFit RP-58'}),0.0010593582339473054,0.0010764446570754877,0.0010593582339473054,1.0,928.9841269841271,1.0,0.001058217893436444,inf,0.9999828954570333,0.9841269841269843,1.0,0.9920634920634921,Activewear,MekongFit RP-57,MekongFit RP-58,MekongFit RP-57 → MekongFit RP-58
frozenset({'MekongFit RP-58'}),frozenset({'MekongFit RP-57'}),0.0010764446570754877,0.0010593582339473054,0.0010593582339473054,0.9841269841269841,928.984126984127,1.0,0.001058217893436444,62.933260431261104,1.0,0.9841269841269843,0.9841101510846995,0.9920634920634921,Activewear,MekongFit RP-58,MekongFit RP-57,MekongFit RP-58 → MekongFit RP-57
frozenset({'HanoiStreet RP-28'}),frozenset({'HanoiStreet RP-27'}),0.0010593582339473054,0.0010935310802036701,0.0010422718108191232,0.9838709677419356,899.7192540322583,1.0,0.0010411133696652322,61.93220107302785,0.9999478451640692,0.9384615384615388,0.9838533108354919,0.9684979838709679,Activewear,HanoiStreet RP-28,HanoiStreet RP-27,HanoiStreet RP-28 → HanoiStreet RP-27
frozenset({'HanoiStreet RP-27'}),frozenset({'HanoiStreet RP-28'}),0.0010935310802036701,0.0010593582339473054,0.0010422718108191232,0.9531250000000001,899.7192540322583,1.0,0.0010411133696652322,21.310733691009176,0.9999820536360735,0.9384615384615388,0.9530752899220034,0.9684979838709679,Activewear,HanoiStreet RP-27,HanoiStreet RP-28,HanoiStreet RP-27 → HanoiStreet RP-28
frozenset({'UrbanVN RP-16'}),frozenset({'UrbanVN RP-15'}),0.0011447903495882172,0.0011106175033318525,0.0010935310802036701,0.9552238805970149,860.0835820895522,1.0,0.001092259656003772,22.30852954242558,0.999982092150054,0.9411764705882352,0.9551740961636116,0.9699196326061997,Activewear,UrbanVN RP-16,UrbanVN RP-15,UrbanVN RP-16 → UrbanVN RP-15
frozenset({'UrbanVN RP-15'}),frozenset({'UrbanVN RP-16'}),0.0011106175033318525,0.0011447903495882172,0.0010935310802036701,0.9846153846153846,860.0835820895521,1.0,0.001092259656003772,64.92558862727653,0.9999478819212809,0.9411764705882352,0.9845977522708222,0.9699196326061997,Activewear,UrbanVN RP-15,UrbanVN RP-16,UrbanVN RP-15 → UrbanVN RP-16
frozenset({'MekongFit RP-13'}),frozenset({'MekongFit RP-14'}),0.0012643953114854936,0.001281481734613676,0.0012643953114854936,1.0,780.3466666666667,1.0,0.0012627750119884938,inf,0.9999828919455279,0.9866666666666665,1.0,0.9933333333333334,Activewear,MekongFit RP-13,MekongFit RP-14,MekongFit RP-13 → MekongFit RP-14
frozenset({'MekongFit RP-14'}),frozenset({'MekongFit RP-13'}),0.001281481734613676,0.0012643953114854936,0.0012643953114854936,0.9866666666666667,780.3466666666667,1.0,0.0012627750119884938,74.90517035163873,1.0,0.9866666666666665,0.9866497867195876,0.9933333333333334,Activewear,MekongFit RP-14,MekongFit RP-13,MekongFit RP-14 → MekongFit RP-13
frozenset({'VietMode MP-20'}),frozenset({'VietMode MP-19'}),0.0013669138502545876,0.00138400027338277,0.0013669138502545876,1.0,722.5432098765432,1.0,0.0013650220411121445,inf,0.9999828901892345,0.9876543209876545,1.0,0.9938271604938271,Activewear,VietMode MP-20,VietMode MP-19,VietMode MP-20 → VietMode MP-19
frozenset({'VietMode MP-19'}),frozenset({'VietMode MP-20'}),0.00138400027338277,0.0013669138502545876,0.0013669138502545876,0.9876543209876543,722.5432098765432,1.0,0.0013650220411121445,80.88927997812903,1.0,0.9876543209876545,0.9876374224091204,0.9938271604938271,Activewear,VietMode MP-19,VietMode MP-20,VietMode MP-19 → VietMode MP-20
frozenset({'VietMode MP-22'}),frozenset({'VietMode MP-21'}),0.0014523459658954995,0.0014694323890236819,0.0014523459658954995,1.0,680.5348837209302,1.0,0.0014502118416931447,inf,0.9999828887253812,0.9883720930232557,1.0,0.9941860465116279,Activewear,VietMode MP-22,VietMode MP-21,VietMode MP-22 → VietMode MP-21
frozenset({'VietMode MP-21'}),frozenset({'VietMode MP-22'}),0.0014694323890236819,0.0014523459658954995,0.0014523459658954995,0.9883720930232558,680.5348837209302,1.0,0.0014502118416931447,85.87509824693284,1.0,0.9883720930232557,0.9883551807169465,0.9941860465116279,Activewear,VietMode MP-21,VietMode MP-22,VietMode MP-21 → VietMode MP-22
frozenset({'VietMode RP-27'}),frozenset({'VietMode RP-28'}),0.001486518812151864,0.001486518812151864,0.0014694323890236819,0.9885057471264369,664.980314440481,1.0,0.0014672226508448006,86.87067286334373,0.9999826891646507,0.9772727272727275,0.9884886352662066,0.9885057471264369,Activewear,VietMode RP-27,VietMode RP-28,VietMode RP-27 → VietMode RP-28
frozenset({'VietMode RP-28'}),frozenset({'VietMode RP-27'}),0.001486518812151864,0.001486518812151864,0.0014694323890236819,0.9885057471264369,664.980314440481,1.0,0.0014672226508448006,86.87067286334373,0.9999826891646507,0.9772727272727275,0.9884886352662066,0.9885057471264369,Activewear,VietMode RP-28,VietMode RP-27,VietMode RP-28 → VietMode RP-27
